,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name
868805,26006,fastr,2023-02-28 16:46:00,commit,2016-11-16 11:01:27-06:00,zslajchrt
872255,26006,fastr,2023-02-28 16:46:00,commit,2022-09-13 11:54:09-05:00,Akirathan
894673,26006,fastr,2023-02-28 16:46:00,commit,2016-09-20 05:56:31-05:00,lukasstadler
900613,25859,llvm-project,2023-02-28 16:46:00,commit,2009-12-03 06:44:31-06:00,eefriedman
910827,26006,fastr,2023-02-28 16:46:00,commit,2015-11-16 07:04:31-06:00,lukasstadler
932062,25971,compiler-rt,2023-02-28 16:46:00,commit,2015-10-22 17:06:41-05:00,kcc
946149,25859,llvm-project,2023-02-28 16:46:00,commit,2014-11-18 09:05:01-06:00,chapuni
948520,25859,llvm-project,2023-02-28 16:46:00,commit,2012-04-26 23:36:34-05:00,chapuni
949409,25859,llvm-project,2023-02-28 16:46:00,commit,2014-03-04 10:13:21-06:00,chapuni
949985,25859,llvm-project,2023-02-28 16:46:00,commit,2015-02-12 18:28:26-06:00,chapuni
950739,25859,llvm-project,2023-02-28 16:46:00,commit,2010-04-21 13:39:03-05:00,bob-wilson
951373,25859,llvm-project,2023-02-28 16:46:00,commit,2012-03-21 12:19:12-05:00,bob-wilson
951649,25859,llvm-project,2023-02-28 16:46:00,commit,2009-10-28 17:10:20-05:00,bob-wilson
952718,25859,llvm-project,2023-02-28 16:46:00,commit,2010-07-14 01:31:50-05:00,bob-wilson
963061,25859,llvm-project,2023-02-28 16:46:00,commit,2019-01-24 14:19:18-06:00,nico
969048,25859,llvm-project,2023-02-28 16:46:00,commit,2014-04-29 23:54:42-05:00,nico
969568,25859,llvm-project,2023-02-28 16:46:00,commit,2015-08-07 05:15:15-05:00,yrnkrn
976583,26048,OCCAM,2023-02-28 16:46:00,commit,2021-04-02 17:36:48-05:00,ashish-gehani
976912,25859,llvm-project,2023-02-28 16:46:00,commit,2018-09-06 09:13:10-05:00,DihSampaio
989169,26006,fastr,2023-02-28 16:46:00,commit,2018-01-16 10:21:06-06:00,tstupka
997395,25859,llvm-project,2023-02-28 16:46:00,commit,2014-05-07 20:35:57-05:00,compnerd
999255,25859,llvm-project,2023-02-28 16:46:00,commit,2017-10-17 17:49:53-05:00,compnerd
1000862,25971,compiler-rt,2023-02-28 16:46:00,commit,2015-03-03 16:15:44-06:00,vonosmas
1001336,25859,llvm-project,2023-02-28 16:46:00,commit,2019-02-13 19:11:29-06:00,kcc
1002180,25859,llvm-project,2023-02-28 16:46:00,commit,2015-06-27 14:04:55-05:00,AlexDenisov
1011944,25859,llvm-project,2023-02-28 16:46:00,commit,2012-10-04 05:08:23-05:00,dvyukov
1012297,26091,root_numpy,2023-02-28 16:46:00,commit,2012-11-06 23:40:34-06:00,piti118
1013885,25859,llvm-project,2023-02-28 16:46:00,commit,2012-12-21 00:30:27-06:00,dvyukov
